timestamp,ticker,yes_bid,yes_ask,last_price,volume,open_interest
2025-12-26T12:06:41.825498+00:00,HIGHCHI-27DEC25-T30,81,85,83,280,456
2025-12-26T12:06:41.825498+00:00,HIGHCHI-27DEC25-T35,34,38,36,339,1103
2025-12-26T12:06:41.825498+00:00,HIGHCHI-27DEC25-T40,10,14,12,84,577
2025-12-26T12:06:41.825498+00:00,HIGHCHI-27DEC25-T45,1,4,2,175,1599
2025-12-26T12:06:41.825498+00:00,HIGHCHI-27DEC25-T50,1,4,2,432,776
2025-12-26T12:06:41.825498+00:00,HIGHCHI-28DEC25-T30,45,49,47,326,218
2025-12-26T12:06:41.825498+00:00,HIGHCHI-28DEC25-T35,8,12,10,453,769
2025-12-26T12:06:41.825498+00:00,HIGHCHI-28DEC25-T40,2,6,4,445,1405
2025-12-26T12:06:41.825498+00:00,HIGHCHI-28DEC25-T45,2,6,4,426,1327
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T30,91,95,93,177,1389
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T35,96,99,98,224,297
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T40,76,80,78,134,1729
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T45,49,53,51,15,1292
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T50,4,8,6,403,1697
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T55,1,3,1,57,1447
2025-12-26T12:06:41.825498+00:00,HIGHDAL-27DEC25-T60,8,12,10,336,718
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T40,85,89,87,153,255
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T45,84,88,86,207,1802
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T50,93,97,95,106,375
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T55,49,53,51,170,1789
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T60,27,31,29,151,177
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T65,1,3,1,248,1046
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T70,3,7,5,195,1899
2025-12-26T12:06:41.825498+00:00,HIGHDAL-28DEC25-T75,1,3,1,469,1254
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T30,97,99,99,320,1675
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T35,87,91,89,317,1388
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T40,69,73,71,289,40
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T45,28,32,30,359,518
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T50,1,4,2,133,492
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T55,3,7,5,149,225
2025-12-26T12:06:41.825498+00:00,HIGHDEN-27DEC25-T60,1,4,2,362,1953
2025-12-26T12:06:41.825498+00:00,HIGHDEN-28DEC25-T30,64,68,66,334,1641
2025-12-26T12:06:41.825498+00:00,HIGHDEN-28DEC25-T35,54,58,56,179,1960
2025-12-26T12:06:41.825498+00:00,HIGHDEN-28DEC25-T40,20,24,22,310,791
2025-12-26T12:06:41.825498+00:00,HIGHDEN-28DEC25-T45,1,3,1,124,1113
2025-12-26T12:06:41.825498+00:00,HIGHDEN-28DEC25-T50,4,8,6,423,428
2025-12-26T12:06:41.825498+00:00,HIGHDEN-28DEC25-T55,1,3,1,468,1071
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T45,95,99,97,186,1617
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T50,93,97,95,175,1622
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T55,86,90,88,118,428
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T60,58,62,60,333,1063
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T65,23,27,25,310,909
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T70,12,16,14,373,1945
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T75,1,5,3,264,653
2025-12-26T12:06:41.825498+00:00,HIGHLA-27DEC25-T80,9,13,11,5,642
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T50,97,99,99,24,643
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T55,89,93,91,431,1022
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T60,92,96,94,500,270
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T65,61,65,63,288,444
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T70,24,28,26,72,50
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T75,10,14,12,60,945
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T80,1,3,1,369,1883
2025-12-26T12:06:41.825498+00:00,HIGHLA-28DEC25-T85,1,3,1,225,223
2025-12-26T12:06:41.825498+00:00,HIGHMIA-27DEC25-T55,95,99,97,344,1316
2025-12-26T12:06:41.825498+00:00,HIGHMIA-27DEC25-T60,95,99,97,317,1760
2025-12-26T12:06:41.825498+00:00,HIGHMIA-27DEC25-T65,88,92,90,458,238
